agency_cd,site_no,datetime,tz_cd,,110247_00060,110247_00060_cd
USGS,3145483,2020/1/2,03:00,EST,91.7,A
USGS,3145483,2020/1/2,03:15,EST,91.7,A
USGS,3145483,2020/1/2,03:30,EST,91.7,A
USGS,3145483,2020/1/2,03:45,EST,90.2,A
USGS,3145483,2020/1/2,04:00,EST,90.2,A
USGS,3145483,2020/1/2,04:15,EST,90.2,A
USGS,3145483,2020/1/2,04:30,EST,90.2,A
USGS,3145483,2020/1/2,04:45,EST,90.2,A
USGS,3145483,2020/1/2,05:00,EST,90.2,A
USGS,3145483,2020/1/2,05:15,EST,88.7,A
USGS,3145483,2020/1/2,05:30,EST,88.7,A
USGS,3145483,2020/1/2,05:45,EST,88.7,A
USGS,3145483,2020/1/2,06:00,EST,88.7,A
USGS,3145483,2020/1/2,06:15,EST,87.3,A
USGS,3145483,2020/1/2,06:30,EST,87.3,A
USGS,3145483,2020/1/2,06:45,EST,87.3,A
USGS,3145483,2020/1/2,07:00,EST,87.3,A
USGS,3145483,2020/1/2,07:15,EST,87.3,A
USGS,3145483,2020/1/2,07:30,EST,85.8,A
USGS,3145483,2020/1/2,07:45,EST,85.8,A
USGS,3145483,2020/1/2,08:00,EST,85.8,A
USGS,3145483,2020/1/2,08:15,EST,85.8,A
USGS,3145483,2020/1/2,08:30,EST,85.8,A
USGS,3145483,2020/1/2,08:45,EST,85.8,A
USGS,3145483,2020/1/2,09:00,EST,84.3,A
USGS,3145483,2020/1/2,09:15,EST,84.3,A
USGS,3145483,2020/1/2,09:30,EST,84.3,A
USGS,3145483,2020/1/2,09:45,EST,82.9,A
USGS,3145483,2020/1/2,10:00,EST,84.3,A
USGS,3145483,2020/1/2,10:15,EST,82.9,A
USGS,3145483,2020/1/2,10:30,EST,82.9,A
USGS,3145483,2020/1/2,10:45,EST,82.9,A
USGS,3145483,2020/1/2,11:00,EST,81.4,A
USGS,3145483,2020/1/2,11:15,EST,81.4,A
USGS,3145483,2020/1/2,11:30,EST,81.4,A
USGS,3145483,2020/1/2,11:45,EST,81.4,A
USGS,3145483,2020/1/2,12:00,EST,81.4,A
USGS,3145483,2020/1/2,12:15,EST,81.4,A
USGS,3145483,2020/1/2,12:30,EST,81.4,A
USGS,3145483,2020/1/2,12:45,EST,80,A
USGS,3145483,2020/1/2,13:00,EST,80,A
USGS,3145483,2020/1/2,13:15,EST,80,A
USGS,3145483,2020/1/2,13:30,EST,80,A
USGS,3145483,2020/1/2,13:45,EST,80,A
USGS,3145483,2020/1/2,14:00,EST,78.6,A
USGS,3145483,2020/1/2,14:15,EST,78.6,A
